date_found,company,title,location,url,source,posted_at,active,match_score
2026-08-31,WSP USA,Team Leader- Project Management,"Noida, Ghaziabad",https://www.adzuna.in/details/5842782920,adzuna,2026-08-15,yes,
2026-08-31,Utthunga Technologies,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/details/5860544003,adzuna,2026-08-29,yes,
2026-08-31,Signzy,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/details/5854495729,adzuna,2026-08-24,yes,
2026-08-31,ServiceNow,Service Delivery Manager,"Bangalore, in",https://jobs.smartrecruiters.com/ServiceNow/744000146401119,smartrecruiters,2026-08-31,yes,
2026-08-31,Razorpay,Senior Solutions Consultant,Bengaluru,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4729051005,greenhouse,2026-08-31,no,
2026-08-31,Quest Global,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/details/5856679591,adzuna,2026-08-26,yes,
2026-08-31,J&F,Technical project manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5860965395,adzuna,2026-08-29,yes,
2026-08-31,Iron Systems,Operation Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5850376979,adzuna,2026-08-21,yes,
2026-08-31,Covalense Global,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/details/5850376431,adzuna,2026-08-21,yes,
2026-08-31,Cankids Kidscan,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/details/5861796280,adzuna,2026-08-30,yes,
2026-08-31,Allianz Partners,Project Manager - Finance Solutions,"Noida, Ghaziabad",https://www.adzuna.in/details/5849138297,adzuna,2026-08-20,yes,
2026-08-31,Aeries Technology,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/details/5796404551,adzuna,2026-07-11,yes,
2026-08-30,Rivera Manpower Services,Project Coordinator / Client Servicing,"Bangalore, Karnataka",https://www.adzuna.in/details/5861795485,adzuna,2026-08-30,yes,
